,LR,LR,LDA,LDA,NB,NB,DT,DT,KNN,KNN,MLP,MLP,BDT,BDT,RF,RF,GB,GB
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
fit_time,9.693497800827027,0.5202437525967812,0.10937738418579102,0.0038144814867344884,0.02059958775838216,0.0020264883711355185,0.2218899408976237,0.023842303210052453,0.015134270985921223,0.007161963752796728,6.016060082117717,2.0348583021371676,7.320452117919922,0.7932927710271918,1.4951250871022543,0.37983418212725245,8.73001414934794,0.15595748655132757
score_time,0.02196787198384603,0.005792655408297388,0.019997104008992513,0.002279782659910159,0.02179891268412272,0.001904854418129014,0.02187511126200358,0.0029185222431574046,1.932608461380005,0.0814514986239676,0.048067108790079756,0.015544085752461046,1.0827006340026855,0.7668803118875327,0.43448287645975747,0.29028923824138936,0.04093468983968099,0.008119358588817486
test_accuracy,0.7740044117826284,0.012286718020001272,0.9123467514898905,0.003136415898462087,0.8976335457976349,0.004410887920609272,0.9379877721310209,0.004122888936296229,0.8910833566922192,0.0031746171221135747,0.8502411530758572,0.052292348798976415,0.9624439813291408,0.0045350816912564235,0.9593498836118116,0.00420483709563861,0.9657025093537103,0.004335414604249251
train_accuracy,0.7741269648910107,0.002981032946198587,0.9134327545170919,0.0007143701834050123,0.8982423103496502,0.000898030821690293,1.0,0.0,0.920229756284044,0.0005960246484386545,0.8497813252182271,0.05740625790944107,0.9998683422173565,0.00012315152490779992,0.9874510424950252,0.0008415371529178603,0.9753793557521188,0.0009233307873935096
test_precision,0.3939074211509908,0.016506583960000286,0.779440339782081,0.02254642282871351,0.7099206964880225,0.021851751657353875,0.8080113741860571,0.014643257378452219,0.6973910293598666,0.013580352383730591,0.6180257757738179,0.13582572962585326,0.9066010739770365,0.014421602612960861,0.9296709139647131,0.012023563355148441,0.9323571309766442,0.01396731500929384
train_precision,0.3937949217439203,0.0040154759713485816,0.7836852043605582,0.002726956521708566,0.7112484475368807,0.005604980162239159,1.0,0.0,0.8030058741136725,0.005953073440000153,0.631473268001756,0.1543855639804562,0.9997441799766702,0.000457493219413842,0.9880820724542138,0.003307905367781323,0.9554271813229764,0.002275933499538953
test_recall,0.749644171779141,0.012431439741612888,0.6353185464841907,0.020228648375261914,0.615238634576058,0.0224116600793905,0.8057832310838446,0.021435009134711955,0.5697593204341671,0.0271459219351989,0.5207129148969639,0.23539362080384163,0.8543407267579045,0.019731612865759297,0.8082409941796446,0.024212519143657747,0.8481868806040587,0.02208881308052129
train_recall,0.7522541052158468,0.0030058687577282457,0.6370116256233636,0.0036957741734270624,0.6173434669380716,0.006025131159285271,1.0,0.0,0.6672822473397714,0.007348332204799299,0.5244523394308919,0.22839478151385226,0.9994366852391696,0.0007663615417161278,0.9331596908597231,0.004737719916759921,0.8881888090338166,0.0045581658226853655
test_f1,0.5162616324967261,0.015271331094504707,0.6995298391780455,0.010337743620798064,0.6587511064333182,0.014464105672826813,0.8066976390219163,0.013563337541652976,0.6266751862815158,0.01636335794062756,0.5036526169670384,0.15066227674780458,0.8795978588990317,0.014966575139112464,0.8645023550641326,0.015284945059150663,0.8881220746233185,0.014907669261943673
train_f1,0.5169574694344037,0.0039481222432856695,0.7027709986649497,0.0027543415092002297,0.6609374757996616,0.002922556158143906,1.0,0.0,0.7288237957392218,0.002812420142715369,0.5082457538358314,0.14493735976067448,0.9995901571699937,0.00038347171942972524,0.959825745877771,0.00274298238359456,0.9205771938646027,0.003095562370384191
test_f2,0.6347437851466011,0.01274626270449551,0.6594445002780851,0.015902869563037852,0.6318487881232514,0.018634997792149558,0.8061017925953883,0.017704526365161635,0.5911535643346278,0.023130381617287053,0.5045240056554952,0.19265061030396596,0.8642463405365874,0.01758860179957943,0.8298017745032333,0.020708936858908577,0.863688103923397,0.019009071219247654
train_f2,0.6363863972341481,0.0034554600349034673,0.6617800885424701,0.003316599134188946,0.6340645313345221,0.004665566569675317,1.0,0.0,0.6905977866410673,0.005616766774110658,0.5080942121493253,0.18447467599758777,0.9994980079761555,0.0005924625292209239,0.9436440662023108,0.0038285640704171092,0.9008657633969032,0.003960861499940406
