,LR,LR,LDA,LDA,NB,NB,DT,DT,KNN,KNN,MLP,MLP,BDT,BDT,RF,RF,GB,GB
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
fit_time,0.6939439455668132,0.03245399826312497,0.13560158411661785,0.014673711541190826,0.033867597579956055,0.0034803125343403946,0.2620732307434082,0.02249669142425582,0.0271332581837972,0.016783707865766367,74.25157464345297,15.507335397232936,6.862591648101807,0.4695866332734741,1.5053817907969156,0.31218312376895907,7.306117916107178,0.4376397053070487
score_time,0.02820297876993815,0.003549628586681026,0.02920087178548177,0.003058798645799194,0.029622364044189452,0.0036070110432180483,0.028269354502360025,0.005743860944808622,1.8900025844573975,0.4183270335349464,0.036866044998168944,0.01484938054908503,0.4598845640818278,0.3966887650944049,0.2764772415161133,0.2510194616561531,0.029134575525919595,0.004744602613725195
test_accuracy,0.8590242891789454,0.006941179306633072,0.9123467514898905,0.003136415898462087,0.8901289654247864,0.007014200074817043,0.9381523161858798,0.0040263050509295965,0.890687661227093,0.004707702523316885,0.9448673743393498,0.0056496789542915486,0.962312326585662,0.004349100426766818,0.9593169455514523,0.004139343712827933,0.9657025093537103,0.004335414604249251
train_accuracy,0.85963269429858,0.002092360999647079,0.9134327545170919,0.0007143701834050123,0.8923010917878479,0.00230682304480826,1.0,0.0,0.9190612707361466,0.0012410684937393085,0.9679158346195258,0.0034788848421656153,0.9998683422173565,0.00012315152490779992,0.9874428140740592,0.0008767637418546614,0.9753793557521188,0.0009233307873935096
test_precision,0.53860186678693,0.014585965781777068,0.779440339782081,0.02254642282871351,0.6802068486246813,0.035143661951749935,0.8086094127034185,0.01483721971170411,0.7769441623764605,0.026370038374020483,0.8625743155896246,0.029284118740887034,0.9061550378844909,0.013499842565132687,0.9298563178506708,0.012067443466675086,0.9323571309766442,0.01396731500929384
train_precision,0.5393875130109543,0.004235689327759285,0.7836852043605582,0.002726956521708566,0.6848747154289263,0.015703940724696473,1.0,0.0,0.8808214661815872,0.008101395670781893,0.933326928073762,0.017418167097706955,0.9997441799766702,0.000457493219413842,0.9880278636267606,0.003294100729731287,0.9554271813229764,0.002275933499538953
test_recall,0.8619097058360864,0.016020906477001974,0.6353185464841907,0.020228648375261914,0.6027327355670914,0.025071623683774993,0.8061922290388548,0.020796172886229772,0.44886518798175234,0.02678906203437311,0.7830542708824917,0.034959730756821454,0.8539310995752714,0.01940989689427138,0.8078301085417651,0.02361774223872594,0.8481868806040587,0.02208881308052129
train_recall,0.8652938206185089,0.003839669482489489,0.6370116256233636,0.0036957741734270624,0.6123759619308949,0.01735134648231051,1.0,0.0,0.5739616184013793,0.00894024751945983,0.8623743286211362,0.021636036366925248,0.9994366852391696,0.0007663615417161278,0.9331597302165847,0.0049005413166720605,0.8881888090338166,0.0045581658226853655
test_f1,0.6627970609952117,0.012624735141722913,0.6995298391780455,0.010337743620798064,0.638144010266998,0.0162749461537358,0.807200358992561,0.013121374569792498,0.568494547377789,0.023704587210990783,0.8200661857642407,0.019909436460923125,0.8791732015359758,0.01440667174482948,0.8643569785944156,0.01502785797516767,0.8881220746233185,0.014907669261943673
train_f1,0.664527064139323,0.0040076275104459535,0.7027709986649497,0.0027543415092002297,0.6462123230748489,0.005523338628725635,1.0,0.0,0.6949550003791327,0.00603262483907517,0.8961600676461853,0.011800225130197085,0.9995901571699937,0.00038347171942972524,0.9598000274884904,0.00285951209904019,0.9205771938646027,0.003095562370384191
test_f2,0.7693844179308404,0.012582442830541971,0.6594445002780851,0.015902869563037852,0.6162081912521794,0.01921017547142697,0.8065480412416284,0.01709355843598694,0.490061570930347,0.025946405138714313,0.7972752673982301,0.027899407024774656,0.8638313837769849,0.017198625924742687,0.8294902765306059,0.020236659517845652,0.863688103923397,0.019009071219247654
train_f2,0.7719964791375366,0.0037639203078740175,0.6617800885424701,0.003316599134188946,0.6253949347011888,0.012309965840742818,1.0,0.0,0.6169152513175963,0.007992437091199922,0.8755151037102603,0.01702408634911567,0.9994980079761555,0.0005924625292209239,0.9436341104968122,0.0039804751981277284,0.9008657633969032,0.003960861499940406
