,LR,LR,LDA,LDA,NB,NB,DT,DT,KNN,KNN,MLP,MLP,BDT,BDT,RF,RF,GB,GB
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
fit_time,7.73498044013977,5.122850951046362,1.716867446899414,0.31773047128129206,1.64295605023702,0.49094759743060346,1.8215710481007894,0.27720776312861495,1.7271608193715413,0.6250084637497351,90.43625798225403,8.724343083721696,7.118649911880493,1.3458497274786647,2.893338680267334,0.6283226247970701,10.28620400428772,1.7656760418522353
score_time,0.044337828954060875,0.006107441153674946,0.05344060262044271,0.014698325903453855,0.06693298021952311,0.026455889390898,0.04388381640116374,0.004209141365682829,2.129192018508911,0.5657740057949794,0.06687924067179361,0.012465006888935213,0.5892525990804036,0.7629750047868461,0.5269055366516113,0.29887410888496274,0.051401646931966145,0.005425778084565585
test_accuracy,0.8629421633984538,0.008312831062519855,0.9147175931003945,0.005710474372494198,0.8823592068541065,0.00823201114995547,0.9338088471272632,0.008011812132287405,0.9097802152267438,0.005421664973382821,0.9469413996644443,0.005949147587089988,0.9590216892333816,0.006718583155110725,0.952900393648008,0.010217227573688233,0.9619183860837913,0.007572473614220086
train_accuracy,0.8627429724170754,0.0036199684656021197,0.9149465940335081,0.004202168242569341,0.8837268912628441,0.004232607864038352,1.0,0.0,0.9340293718163815,0.002376284221609178,1.0,0.0,0.9998518833439664,0.00012093363354427402,0.9824310891582271,0.006186733890327292,0.9707461828928011,0.005735999734755027
test_precision,0.5473242288671067,0.018236205644661666,0.7879411167741923,0.02531183294969349,0.6514995703221627,0.038023607053628505,0.7957356907020526,0.023390421312147917,0.841930658372937,0.023903974356988645,0.8539029103882131,0.022021019328690557,0.9015323939472223,0.014960060023975517,0.9214657767824052,0.019483066486270635,0.9232599405994382,0.02215505605117686
train_precision,0.5462358281808515,0.007446269046203091,0.7888720487524548,0.0163565007810471,0.6549640406945042,0.023014039161739892,1.0,0.0,0.9114476744742167,0.0036864507204444953,1.0,0.0,0.9997441406198087,0.00045753730662894234,0.9836125770058823,0.007120403171918509,0.9431516746239186,0.014513262238181874
test_recall,0.8588560641812176,0.02134109129556954,0.6431222274657856,0.028371184045830493,0.5822513764354257,0.025325934987699434,0.7910599339310995,0.03080943920332419,0.540081799591002,0.027266756653344538,0.808454931571496,0.023307656744882853,0.836136542394211,0.03285482482501166,0.7722504325939907,0.05540682524718323,0.8322359603586598,0.03531026950637083
train_recall,0.8610399735836747,0.008068364423970307,0.6425890832724286,0.01336827302104179,0.5875808635918724,0.014694675649638538,1.0,0.0,0.6527816052325733,0.015042638115178052,1.0,0.0,0.9993341999714269,0.0007349272617920867,0.9055400292736338,0.03286475137458816,0.8702026445449619,0.02327994089319367
test_f1,0.6683309260833392,0.015398261412771674,0.7076951175909242,0.020602791339546775,0.6140831247877944,0.021404314539169737,0.7932811351754818,0.02587741764358515,0.6576649132012674,0.023950419825821617,0.8303670334647132,0.019009032093647953,0.8674044367577828,0.023194372202194988,0.8395229439804821,0.038892303536609385,0.875091032390484,0.026201642101418003
train_f1,0.668421848404354,0.007891498873845543,0.7082469403463766,0.01449136172635749,0.6189339809549195,0.005872433416878486,1.0,0.0,0.7606388757902413,0.010747617255112736,1.0,0.0,0.9995388948425628,0.00037657135955363705,0.9427548649546481,0.0210268631626156,0.9051752078178132,0.01917743573135017
test_f2,0.7708350080835094,0.016047856401603357,0.6673926627780137,0.02498924916930017,0.5944150330778181,0.02197148947710486,0.7919212510595572,0.028627454558378052,0.5816328122800355,0.02626478753792935,0.8170370828036292,0.020974187622718642,0.8483270972049038,0.02906081195799428,0.7976826749088457,0.049447155920661665,0.8488030348532328,0.03154585759404464
train_f2,0.7720454710218285,0.008035947063460308,0.6673334786433781,0.013757439155501268,0.5996278918381068,0.009357323108010612,1.0,0.0,0.6920199094002022,0.013688236284492684,1.0,0.0,0.9994160118838119,0.0005700818692510123,0.9200237573633,0.02838018937681913,0.8838549083375037,0.021711904510226258
