,LR,LR,LDA,LDA,NB,NB,DT,DT,KNN,KNN,MLP,MLP,BDT,BDT,RF,RF,GB,GB
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
fit_time,0.7749003887176513,0.04021918224034179,0.25763012568155924,0.012855494846666133,0.1636669635772705,0.009850577610802479,0.3686185836791992,0.026063185999008764,0.1681532065073649,0.020966950900211646,81.72014072736104,13.586082252830291,8.387687142690023,0.8208584354710656,1.85717724164327,0.43712267028328144,11.176934719085693,2.2664483630069414
score_time,0.04226921399434407,0.0033362868341795795,0.0452905813852946,0.004517084768780225,0.054645204544067384,0.0068495955690055345,0.04720376332600911,0.0064009561891949915,1.8404365062713623,0.32228029975788497,0.06973347663879395,0.006476023448351122,0.5507999102274577,0.3523982532367943,0.39471898078918455,0.3255400149534379,0.08177003860473633,0.031289374038544024
test_accuracy,0.8538566536263147,0.00504234665755061,0.9099437193033773,0.003409939337240213,0.8787073558147377,0.005945485001600683,0.9382510328689992,0.0042430842554236825,0.903624324115714,0.004639133893176821,0.950923411291076,0.004457221822369304,0.9624439975788006,0.004215415850874246,0.9593168480534938,0.003718414897268525,0.9657024931040505,0.004320517785860775
train_accuracy,0.8562588344937886,0.0014284948806050535,0.9105608761304925,0.0009398856667893473,0.8806984951253081,0.002887012074997678,1.0,0.0,0.930565219794166,0.001564250468650881,0.981987140403098,0.004748717473258069,0.9998683422173565,0.00012315152490779992,0.9874016699377712,0.0008627430658394214,0.9753793557521188,0.0009233307873935096
test_precision,0.5278666246600368,0.009980076521908571,0.7716098376632956,0.01260688343810691,0.6272644429514782,0.027193717904278374,0.8084810736535507,0.01515519390711878,0.8092246561699533,0.02020205889902162,0.8625847049363818,0.02135180812898946,0.9069702182189976,0.013126846017744422,0.9300711243932367,0.011633109731964842,0.9323548144990261,0.013983181892150214
train_precision,0.5322345301887972,0.002831362698787109,0.774513733472124,0.004046090790574492,0.6317701256465685,0.014509567668393994,1.0,0.0,0.8939936135259299,0.006654747389188298,0.9537662120425667,0.015010996023350931,0.9997441799766702,0.000457493219413842,0.9879720095409413,0.0032622056327070406,0.9554271813229764,0.002275933499538953
test_recall,0.8633456032719836,0.013970532432548753,0.624652509045147,0.0268958475624911,0.6109227623092655,0.024452400922299306,0.8072166116092496,0.02270645140745444,0.5236652509045148,0.022985426265161795,0.8270800692150387,0.02659256313566491,0.8539310995752712,0.02017503960274323,0.8076230926537673,0.021539950089212376,0.8481862513764356,0.021834700718969705
train_recall,0.8695963520912072,0.0024389415601709812,0.6253844673422664,0.004395898404848969,0.619495500133223,0.01626927715740248,1.0,0.0,0.6442340033051894,0.007979861908298759,0.9332638291156552,0.022358038562810743,0.9994366852391696,0.0007663615417161278,0.9329547990379609,0.004912849969310026,0.8881888090338166,0.0045581658226853655
test_f1,0.6550254720924259,0.007274435265517846,0.6900011472816756,0.016295476618011336,0.6181302658758775,0.011004344630932346,0.8076228038498984,0.0140331471058612,0.6356220923382961,0.0205784943808572,0.8440201126283596,0.014774461629335992,0.8795319492062568,0.014090775781030901,0.8643525045009395,0.0135346982198896,0.8881252318873948,0.014841570418963083
train_f1,0.6603189584031042,0.002756077443768763,0.691996035420136,0.0034801266820370593,0.6252333811750271,0.005072561097816093,1.0,0.0,0.7488059687963626,0.0062575732147765045,0.9432588811942856,0.015156260739986814,0.9995901571699937,0.00038347171942972524,0.9596650413529434,0.00281859195658725,0.9205771938646027,0.003095562370384191
test_f2,0.7658484073732567,0.008241113073808447,0.6491763492861159,0.0229639273748596,0.6135815517626638,0.016687355102962355,0.8073256803358383,0.018630764484790705,0.5633249787652201,0.022232261505349262,0.833676117713411,0.020940556966301992,0.8639646148625789,0.017521073492652174,0.8293619901741316,0.01836738752871931,0.8636899020858227,0.018827801824294325
train_f2,0.7717569032590259,0.0025666565112735756,0.6504268376534917,0.0039908999345113026,0.6216977535031641,0.010955698358367976,1.0,0.0,0.682345752478202,0.0073413580422618885,0.9372028913067957,0.019042347026945204,0.9994980079761555,0.0005924625292209239,0.9434561340821366,0.003973454006124691,0.9008657633969032,0.003960861499940406
