,LR,LR,LDA,LDA,NB,NB,DT,DT,KNN,KNN,MLP,MLP,BDT,BDT,RF,RF,GB,GB
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
fit_time,4.894362703959147,0.24076936655437312,0.14173491795857748,0.015221395167103226,0.06631830533345541,0.005652266559073173,0.2645841598510742,0.017281942457767586,0.06410236358642578,0.01260550236668863,104.5248642762502,11.086980950752743,6.676498699188232,1.062466172377185,1.4804384390513101,0.45731914119667827,7.645908164978027,0.6005525159815053
score_time,0.021400928497314453,0.005583054032353359,0.023566357294718423,0.005197809302627451,0.02440028190612793,0.0029619088878776946,0.023210430145263673,0.002626029668829631,1.7764259497324626,0.05835292042479756,0.04628276824951172,0.01825527662169327,0.6742266972859701,0.8389173109177723,0.5139679114023844,0.44680042430024725,0.0309358278910319,0.005314740807573624
test_accuracy,0.8608347287728663,0.006243327642792734,0.9123467514898905,0.003136415898462087,0.8901289654247864,0.007014200074817043,0.9380535995027605,0.004236057215439978,0.9262041850998746,0.0038347524353329657,0.94891597707173,0.005575260689517693,0.9624768868901806,0.004486658569658044,0.9593169455514523,0.004031920111017383,0.9657025093537103,0.004335414604249251
train_accuracy,0.8619285415726672,0.0015503600120671812,0.9134327545170919,0.0007143701834050123,0.8923010917878479,0.00230682304480826,1.0,0.0,0.9481913822033688,0.0021228576332722442,0.9998107432705944,0.0003052282903235634,0.9998683422173565,0.00012315152490779992,0.9874345846373644,0.0008469953043672207,0.9753793557521188,0.0009233307873935096
test_precision,0.5422152438133345,0.013056866618898972,0.779440339782081,0.02254642282871351,0.6802068486246813,0.035143661951749935,0.8083595484342178,0.015367838908378796,0.8664972682147469,0.020347152596094643,0.8535276477518429,0.02559664829016014,0.9067992400802081,0.014319732352974063,0.9294494916080508,0.01159461791301691,0.9323571309766442,0.01396731500929384
train_precision,0.5441759982931519,0.003155648627018103,0.7836852043605582,0.002726956521708566,0.6848747154289263,0.015703940724696473,1.0,0.0,0.9238161469120151,0.007216042711589655,0.9993360024420905,0.0014220258433143556,0.9997441799766702,0.000457493219413842,0.9880271017001123,0.0032683459645780357,0.9554271813229764,0.002275933499538953
test_recall,0.8637590058203556,0.018160793601166878,0.6353185464841907,0.020228648375261914,0.6027327355670914,0.025071623683774993,0.8057826018562214,0.020966497868486502,0.6396212049708981,0.018690125895573343,0.8244454931571495,0.02395142454460565,0.8543407267579046,0.019538745655419038,0.8082409941796446,0.023392119570533935,0.8481868806040587,0.02208881308052129
train_recall,0.8661645911825674,0.0034085104828017803,0.6370116256233636,0.0036957741734270624,0.6123759619308949,0.01735134648231051,1.0,0.0,0.7384263473723196,0.009284712848541179,0.9994878491593177,0.0007765751054304855,0.9994366852391696,0.0007663615417161278,0.9331084482258517,0.0047085948091451545,0.8881888090338166,0.0045581658226853655
test_f1,0.6661009797117814,0.012315469860320586,0.6995298391780455,0.010337743620798064,0.638144010266998,0.0162749461537358,0.8068757386968513,0.013733449217946357,0.7357231578738992,0.014589183431424868,0.8383490206923306,0.01725108404297824,0.8796919275625249,0.014811182857309271,0.8644178423670965,0.014679113648792768,0.8881220746233185,0.014907669261943673
train_f1,0.6684108194374758,0.0030813822858695122,0.7027709986649497,0.0027543415092002297,0.6462123230748489,0.005523338628725635,1.0,0.0,0.8207617654095843,0.007744803831398303,0.9994115054614238,0.0009487537645388052,0.9995901571699937,0.00038347171942972524,0.9597730789775203,0.002759761111766002,0.9205771938646027,0.003095562370384191
test_f2,0.7720592306555355,0.013901164425664634,0.6594445002780851,0.015902869563037852,0.6162081912521794,0.01921017547142697,0.8061737199584379,0.01744432878079211,0.6748445527817556,0.016925533939722147,0.8298644628805795,0.01993927323688159,0.8642828354192356,0.017409106323582883,0.8297727274002509,0.019968331570370663,0.863688103923397,0.019009071219247654
train_f2,0.7745056955681402,0.0031009374345030566,0.6617800885424701,0.003316599134188946,0.6253949347011888,0.012309965840742818,1.0,0.0,0.7692916409453637,0.008682430011824265,0.9994572104923807,0.0007888686133729683,0.9994980079761555,0.0005924625292209239,0.9435923472621865,0.003821277376988893,0.9008657633969032,0.003960861499940406
