,LR,LR,LDA,LDA,NB,NB,DT,DT,KNN,KNN,MLP,MLP,BDT,BDT,RF,RF,GB,GB
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
fit_time,2.5135756810506185,0.2710290120616605,0.21573282877604166,0.03382358726044521,0.06300007502237956,0.008205673735415309,0.4573306719462077,0.07891256457145795,0.04386534690856934,0.006185737663138269,102.47986971537271,9.000230996303324,6.905114078521729,0.7304121493298891,1.7027538299560547,0.38024022013787123,7.967162322998047,0.382932133095706
score_time,0.03063044548034668,0.0051783850327794066,0.04720066388448079,0.018849913142897884,0.06426682472229003,0.021815264136175495,0.03833293914794922,0.008537546836882326,2.289572540918986,0.24093660849934215,0.03743480046590169,0.014455392237538618,0.7687739213307698,0.6472451310895793,0.38119765917460124,0.32618225543371865,0.03693370819091797,0.004905180569344082
test_accuracy,0.8610980870088034,0.006487131560095961,0.9123467514898905,0.003136415898462087,0.8901289654247864,0.007014200074817043,0.9380535670034409,0.004197932595298642,0.9094173440743584,0.0033209758876851323,0.9408516609183495,0.006157354126750495,0.9622135936528828,0.0045435311575865,0.9591853233072932,0.004189173791485338,0.9657025256033701,0.004282492933995727
train_accuracy,0.861953212615359,0.0015011794693967418,0.9134327545170919,0.0007143701834050123,0.8923010917878479,0.00230682304480826,1.0,0.0,0.9342105667043836,0.0018287643126245364,0.9999506254112878,0.00012588497977768055,0.9998683422173565,0.00012315152490779992,0.9874345846373642,0.0008879771015224409,0.9753793557521188,0.0009233307873935096
test_precision,0.5427760772248129,0.013452130897474891,0.779440339782081,0.02254642282871351,0.6802068486246813,0.035143661951749935,0.8082403413299644,0.015565812130823121,0.8384558522338222,0.019935003127108802,0.8275234259593464,0.02181735010875785,0.9057444387535832,0.014264829401262806,0.9291756850025142,0.011961120075683833,0.9325533958984642,0.013878005897654798
train_precision,0.5442189710840949,0.0030632335031366017,0.7836852043605582,0.002726956521708566,0.6848747154289263,0.015703940724696473,1.0,0.0,0.9052555249224157,0.0053399780205183635,0.9999486784706184,0.0001920275795110962,0.9997441799766702,0.000457493219413842,0.9880267784738379,0.0032966509455863496,0.9554271813229764,0.002275933499538953
test_recall,0.8637590058203556,0.018333741061361476,0.6353185464841907,0.020228648375261914,0.6027327355670914,0.025071623683774993,0.8059871008337267,0.02019502640113782,0.5408752556237217,0.02029194506156735,0.7986150700015731,0.02483897695623453,0.8537272298253894,0.019851296084127206,0.807626868019506,0.02392292146771674,0.8479823816265536,0.02183102571423335
train_recall,0.86631827972732,0.0033229585923180145,0.6370116256233636,0.0036957741734270624,0.6123759619308949,0.01735134648231051,1.0,0.0,0.6595481910996033,0.010988479820656942,0.9997438655443663,0.0006062445248854983,0.9994366852391696,0.0007663615417161278,0.9331084875827134,0.004896544097508123,0.8881888090338166,0.0045581658226853655
test_f1,0.6665278186857466,0.012872514527408868,0.6995298391780455,0.010337743620798064,0.638144010266998,0.0162749461537358,0.8069267368532035,0.013470244049323633,0.6572031493048062,0.015282752756003874,0.812624318794894,0.01984190496389554,0.8788702723932237,0.01500634175173196,0.8639442031476338,0.015191816710758746,0.8881011861848574,0.014726916742268219
train_f1,0.6684892960409056,0.0030058553593908448,0.7027709986649497,0.0027543415092002297,0.6462123230748489,0.005523338628725635,1.0,0.0,0.7630592247627794,0.007827558526110135,0.9998462129495552,0.00039219752428984597,0.9995901571699937,0.00038347171942972524,0.9597726333310452,0.002894783797359273,0.9205771938646027,0.003095562370384191
test_f2,0.7722901977803278,0.014357749007113037,0.6594445002780851,0.015902869563037852,0.6162081912521794,0.01921017547142697,0.806318620314279,0.016836241786782183,0.5820406639458829,0.018591914378355976,0.8041176990714975,0.022257780167875513,0.8635888626913015,0.017688939839463357,0.8292091479448691,0.020495527063526003,0.8635534397858627,0.01877999527028839
train_f2,0.7746217086596363,0.0030317802667255466,0.6617800885424701,0.003316599134188946,0.6253949347011888,0.012309965840742818,1.0,0.0,0.6973811471626938,0.009922146551263198,0.9997847903470672,0.0005200567737269947,0.9994980079761555,0.0005924625292209239,0.9435921292297947,0.003993199028975478,0.9008657633969032,0.003960861499940406
