churn,age,gender,dependents,prod_ct,mo_on_book,mo_inactive_r12,contr_ct_r12,revbal_avg_r12,credlim_avg_r12,opentobuy_avg_r12,utilratio_avg,tx_amt_r12,tx_ct_r12,chng_tx_amt_q4_q1,chng_tx_ct_q4_q1,marstat_Divorced,marstat_Married,marstat_Single,marstat_Unknown,card_Blue,card_Gold,card_Platinum,card_Silver,educ,inc,tx_amt_pertx_r12
0,45,1,3,5,39,1,3,777.0,12691.0,11914.0,0.061,1144.0,42,1.335,1.625,0,1,0,0,1,0,0,0,1,3,27.238095238095237
0,49,0,5,6,44,1,2,864.0,8256.0,7392.0,0.105,1291.0,33,1.541,3.714,0,0,1,0,1,0,0,0,3,1,39.121212121212125
0,51,1,3,4,36,1,0,0.0,3418.0,3418.0,0.0,1887.0,20,2.594,2.333,0,1,0,0,1,0,0,0,3,4,94.35
0,40,0,4,3,34,4,1,2517.0,3313.0,796.0,0.76,1171.0,20,1.405,2.333,0,0,0,1,1,0,0,0,1,1,58.55
0,40,1,3,5,21,1,0,0.0,4716.0,4716.0,0.0,816.0,28,2.175,2.5,0,1,0,0,1,0,0,0,0,3,29.142857142857142
0,44,1,2,3,36,1,2,1247.0,4010.0,2763.0,0.311,1088.0,24,1.376,0.846,0,1,0,0,1,0,0,0,3,2,45.333333333333336
0,51,1,4,6,46,1,3,2264.0,34516.0,32252.0,0.066,1330.0,31,1.975,0.722,0,1,0,0,0,1,0,0,0,5,42.903225806451616
0,32,1,0,2,27,2,2,1396.0,29081.0,27685.0,0.048,1538.0,36,2.204,0.714,0,0,0,1,0,0,0,1,1,3,42.72222222222222
0,37,1,3,5,36,2,0,2517.0,22352.0,19835.0,0.113,1350.0,24,3.355,1.182,0,0,1,0,1,0,0,0,0,3,56.25
0,48,1,2,6,36,3,3,1677.0,11656.0,9979.0,0.144,1441.0,32,1.524,0.882,0,0,1,0,1,0,0,0,3,4,45.03125
0,42,1,5,5,31,3,2,1467.0,6748.0,5281.0,0.217,1201.0,42,0.831,0.68,0,0,0,1,1,0,0,0,0,5,28.595238095238095
0,65,1,1,6,54,2,3,1587.0,9095.0,7508.0,0.174,1314.0,26,1.433,1.364,0,1,0,0,1,0,0,0,0,2,50.53846153846154
0,56,1,1,3,36,6,0,0.0,11751.0,11751.0,0.0,1539.0,17,3.397,3.25,0,0,1,0,1,0,0,0,2,4,90.52941176470588
0,35,1,3,5,30,1,3,1666.0,8547.0,6881.0,0.195,1311.0,33,1.163,2.0,0,0,0,1,1,0,0,0,3,3,39.72727272727273
0,57,0,2,5,48,2,2,680.0,2436.0,1756.0,0.279,1570.0,29,1.19,0.611,0,1,0,0,1,0,0,0,3,1,54.13793103448276
0,44,1,4,5,37,1,2,972.0,4234.0,3262.0,0.23,1348.0,27,1.707,1.7,0,0,0,1,1,0,0,0,0,4,49.925925925925924
0,48,1,4,6,36,2,3,2362.0,30367.0,28005.0,0.078,1671.0,27,1.708,0.929,0,0,1,0,1,0,0,0,4,4,61.888888888888886
0,41,1,3,4,34,4,1,1291.0,13535.0,12244.0,0.095,1028.0,21,0.653,1.625,0,1,0,0,1,0,0,0,0,4,48.95238095238095
0,61,1,1,2,56,2,3,2517.0,3193.0,676.0,0.788,1336.0,30,1.831,1.143,0,1,0,0,1,0,0,0,1,2,44.53333333333333
0,45,0,2,6,37,1,2,1157.0,14470.0,13313.0,0.08,1207.0,21,0.966,0.909,0,1,0,0,1,0,0,0,3,0,57.476190476190474
0,47,1,1,5,42,2,0,1800.0,20979.0,19179.0,0.086,1178.0,27,0.906,0.929,1,0,0,0,1,0,0,0,5,3,43.629629629629626
